segment,timestamp,t_in_c,t_iw_c,t_ow_c,r_in_iw,r_iw_ow,r_ow_oa,r_in_oa,c_in,c_w,alpha_ghi_outer_wall,alpha_ghi_inner_wall
train,2018-08-08 20:50:00,23.762856627093566,24.688878990798347,24.42587544755354,0.7137315957371227,0.6407721887248256,0.8595536848913293,2.043838585304629,12.684949581477026,20.0,0.38855231350908326,0.5
train,2018-08-08 20:55:00,23.758775343709544,24.68074368539099,24.387995920101634,0.7116322986399133,0.639424605525102,0.8594822364430953,2.0431567583264347,12.68901113205374,20.0,0.38803426197870655,0.5
train,2018-08-08 21:00:00,23.75500827013295,24.672238180103296,24.350923762400235,0.7094744099452648,0.6380841078044042,0.8593951260138125,2.0424635770108797,12.693043015639896,20.0,0.38754450222574915,0.5
train,2018-08-08 21:05:00,23.760962331765704,24.66414346580002,24.314304846749103,0.7065058298914975,0.6363351390264038,0.8592509180209229,2.0415386387783303,12.698143641997437,20.0,0.386952169550376,0.5
train,2018-08-08 21:10:00,23.769114197280786,24.65684563430798,24.278411627293853,0.7023193326950105,0.6339919652656396,0.8590145500686592,2.04027206467056,12.704757680329756,20.0,0.38622797981997803,0.5
train,2018-08-08 21:15:00,23.779385817683693,24.650292222587872,24.24326101309168,0.6969301100296158,0.6311224222141834,0.858669220648217,2.0386874464990004,12.712581889794004,20.0,0.3854350948799475,0.5
train,2018-08-08 21:20:00,23.791328992083486,24.644284058239766,24.208750664544464,0.6905314897204369,0.6278774107762433,0.8582117906163318,2.036857450785235,12.721110278156397,20.0,0.38465574048168616,0.5
train,2018-08-08 21:25:00,23.804477336544405,24.638624712797583,24.17475751771648,0.6833342032363927,0.6243975610322702,0.8576450702190958,2.0348539205308196,12.729904340911723,20.0,0.3839585121046389,0.5
train,2018-08-08 21:30:00,23.818459325112507,24.633164927336683,24.14117507205007,0.6755114463076518,0.620788885159089,0.8569732900386833,2.0327330908897356,12.738649918404425,20.0,0.3833935107709784,0.5
train,2018-08-08 21:35:00,23.83249848313566,24.627254395497122,24.107881199736642,0.6672442513094085,0.6171431528058119,0.8562057556726336,2.0305467239158,12.747119986103648,20.0,0.38299581316940423,0.5
train,2018-08-08 21:40:00,23.846706510718132,24.6213003499649,24.07477522248857,0.6586749739509333,0.613528736698409,0.8553507739166812,2.028335052066802,12.755146496266972,20.0,0.38278990448748645,0.5
train,2018-08-08 21:45:00,23.860878774834784,24.615232231121787,24.041782397281008,0.6499078945412881,0.6099905909698806,0.8544153409690904,2.0261260138942636,12.762631700198007,20.0,0.3827906652555197,0.5
train,2018-08-08 21:50:00,23.874612258567836,24.6087280565572,24.008822865519605,0.641047889222989,0.6065660392951439,0.8534088468285485,2.023944586245105,12.769520185278546,20.0,0.3830045595526101,0.5
train,2018-08-08 21:55:00,23.887951582050807,24.601994807505864,23.97583050474643,0.6321773736771441,0.6032819430949152,0.8523395021984086,2.021809972583141,12.775775798189178,20.0,0.3834338775083741,0.5
train,2018-08-08 22:00:00,23.900784009905788,24.594998762635655,23.942754024645062,0.6233583704663578,0.6001547046603035,0.8512144482315032,2.019735401288485,12.781390057821344,20.0,0.38407697860915907,0.5
train,2018-08-08 22:05:00,23.912638731175882,24.587574062571374,23.908741274252574,0.6146509177018324,0.5971922519165134,0.8500425595504953,2.017732382663383,12.786390192685197,20.0,0.3849261347201241,0.5
train,2018-08-08 22:10:00,23.923551860965503,24.57982291593872,23.87377237580737,0.6061002065680943,0.5943979592578845,0.8488313874075374,2.0158090931982264,12.790806611361475,20.0,0.3859725379572496,0.5
train,2018-08-08 22:15:00,23.933478209807948,24.571721180554945,23.83783568543201,0.5977392787781538,0.5917710381598306,0.8475874222827239,2.0139705806048904,12.794677332723507,20.0,0.38720631586215126,0.5
train,2018-08-08 22:20:00,23.9423207121083,24.56317722301106,23.800918427164177,0.5895998227701829,0.589309790772395,0.8463175701783229,2.012220998087443,12.798045131379626,20.0,0.38861534568499495,0.5
train,2018-08-08 22:25:00,23.95009768792192,24.554235002600013,23.763011544489743,0.5817064727789384,0.5870112937770412,0.845028035080012,2.010563065297541,12.80095011153821,20.0,0.39018714535710547,0.5
train,2018-08-08 22:30:00,23.956787598842602,24.544875103805886,23.724110480720892,0.5740768628628924,0.5848710224879818,0.8437242854955198,2.0089978618237367,12.803433156327653,20.0,0.3919089984335443,0.5
train,2018-08-08 22:35:00,23.96225088880519,24.534941002493895,23.68420316874547,0.5667351489547642,0.5828855728788972,0.8424134662911282,2.007527076700105,12.805539059213633,20.0,0.39376446768100937,0.5
train,2018-08-08 22:40:00,23.966563246941327,24.524538256162987,23.64328231006583,0.5596975765642515,0.5810509277473601,0.8411016052106469,2.0061512214554793,12.807304540910003,20.0,0.39573799355707134,0.5
train,2018-08-08 22:45:00,23.96971643663286,24.513648497358908,23.60134785616553,0.5529714233727948,0.579361208039002,0.8397934159075089,2.0048689438586003,12.808766162899369,20.0,0.3978151612274285,0.5
train,2018-08-08 22:50:00,23.971649194213253,24.502187051871996,23.558398430863825,0.5465639318350001,0.577810547294806,0.8384939329002689,2.0036785779550823,12.809961365407977,20.0,0.3999802839275257,0.5
