candidate_index,segment,timestamp,t_in_c,t_iw_c,t_ow_c,r_in_iw,r_iw_ow,r_ow_oa,r_in_oa,c_in,c_w,alpha_ghi_outer_wall,alpha_ghi_inner_wall
11,train,2018-08-12 13:25:00,0.0012437583718036944,0.00150378281164361,0.0017133690845772466,8.813844222768789e-05,0.00022034143625179972,0.000996036661262619,0.0014591167046344039,0.2662620787874824,0.2388482819109455,0.01687459164511386,0.01564960571747755
11,train,2018-08-12 13:30:00,0.0012434806331938612,0.0015049978288172484,0.0017099280053268788,8.813098178313236e-05,0.00022028470000037289,0.0009959993465350168,0.001459104460540644,0.2662605103749023,0.23880217512100507,0.016873535823854986,0.01564956033992021
11,train,2018-08-12 13:35:00,0.0012429721884674272,0.0015056453241801854,0.0017089748285513667,8.812283986398671e-05,0.0002202330405995543,0.000995961799020109,0.0014590920683565049,0.2662591586956398,0.23875624068107845,0.016872445645189426,0.01564951966718688
11,train,2018-08-12 13:40:00,0.0012422523953691225,0.0015057985223556228,0.001710154618726687,8.811383093753421e-05,0.0002201874187382157,0.0009959249788935851,0.0014590792036786693,0.2662581345641627,0.23871029407369146,0.016871318967759192,0.015649483423243807
11,train,2018-08-12 13:45:00,0.0012413807021565935,0.0015056229296299532,0.0017128777268360631,8.810393816803156e-05,0.00022014800708388855,0.0009958893341403764,0.0014590658734801893,0.2662574390723796,0.238664354814968,0.016870153984829276,0.015649450927043614
11,train,2018-08-12 13:50:00,0.0012407081140294117,0.0015056740117475836,0.0017176641929678262,8.809260198558253e-05,0.00022011550619652467,0.0009958561098980631,0.0014590510791926744,0.26625711051269935,0.23861786897305554,0.016868953759781116,0.015649422584233935
11,train,2018-08-12 13:55:00,0.0012401126114078129,0.0015056786347193878,0.0017242333325348613,8.80795570788697e-05,0.00022008985562269718,0.000995825997757622,0.0014590344262142825,0.2662570419334046,0.23857063559599484,0.01686772010829688,0.015649397868023315
11,train,2018-08-12 14:00:00,0.0012395266742402642,0.0015056543680694913,0.0017317025248738981,8.806494776732801e-05,0.00022007011567152853,0.0009957987303155966,0.0014590162369034036,0.26625704073303713,0.23852289751600678,0.01686645440624951,0.01564937568350842
11,train,2018-08-12 14:05:00,0.0012388254248195093,0.0015058191152194501,0.0017387225005691415,8.804907208239223e-05,0.0002200555936162659,0.000995775310787744,0.0014589967616875639,0.2662568631014032,0.23847423048743174,0.016865153232729312,0.015649355231494605
11,train,2018-08-12 14:10:00,0.0012380163206531917,0.0015065728835371385,0.001743331715523742,8.803273309151848e-05,0.00022004467687376369,0.0009957548690982577,0.001458977204351258,0.2662563160846832,0.23842519963105607,0.01686381646320034,0.01564933544467507
11,train,2018-08-12 14:15:00,0.0012372589138138553,0.0015081737876730455,0.0017449833320410397,8.801660905947942e-05,0.00022003596024175443,0.0009957362632272396,0.0014589585693874025,0.2662554021274956,0.23837635907363391,0.01686244704227841,0.015649315679578026
11,train,2018-08-12 14:20:00,0.0012366514378330778,0.0015106063552299727,0.0017439794337112437,8.800112211516867e-05,0.0002200284529559696,0.000995718552876442,0.0014589414325131386,0.2662542312831441,0.23832805188156375,0.01686104957194779,0.015649295654019367
11,train,2018-08-12 14:25:00,0.0012362097820424569,0.0015137206458350869,0.0017408657736993922,8.79865146619499e-05,0.0002200214719214639,0.00099570099533137,0.0014589260697164506,0.2662529454025368,0.23828048120803888,0.016859629027153048,0.015649275259485246
11,train,2018-08-12 14:30:00,0.0012359147947312043,0.0015173460406830439,0.001736183672964593,8.797291453225898e-05,0.00022001453492596034,0.000995683010422728,0.0014589125729037571,0.26625167198356386,0.23823376131793716,0.016858189969523766,0.01564925446681969
11,train,2018-08-12 14:35:00,0.0012357675377796095,0.0015213539920103066,0.0017304627750116268,8.796031282326812e-05,0.0002200073281394156,0.0009956642173736198,0.0014589008183346164,0.266250491039743,0.23818789506452204,0.01685673561180743,0.015649233519589828
11,train,2018-08-12 14:40:00,0.0012357045875803965,0.001525568665026402,0.0017240374265118097,8.794871151484034e-05,0.00021999959946656357,0.0009956442962123066,0.0014588907119816826,0.26624945723268223,0.23814290360312956,0.01685526748231446,0.015649212665269564
11,train,2018-08-12 14:45:00,0.0012356864996732806,0.0015299013219061918,0.0017170713918605715,8.793812829018011e-05,0.00021999110754657492,0.000995622913993179,0.0014588821846214198,0.266248610543468,0.23809883890244982,0.016853786560738507,0.015649192065504147
11,train,2018-08-12 14:50:00,0.0012357207632378063,0.0015343379514677238,0.0017098023609815128,8.792851802146813e-05,0.00021998167219745631,0.000995599827874815,0.0014588750777297516,0.26624795869455703,0.23805569632688967,0.01685229401175132,0.0156491719191848
11,train,2018-08-12 14:55:00,0.0012357857045149736,0.0015388198623549469,0.0017023574244461866,8.791983543716438e-05,0.00021997113984468058,0.0009955748313381966,0.0014588692428592017,0.2662474917598584,0.23801346931133743,0.01685079073604339,0.015649152366933948
11,train,2018-08-12 15:00:00,0.0012358744247193522,0.0015433500759862262,0.0016947939610293934,8.791203382403297e-05,0.00021995935381360644,0.0009955476763741195,0.0014588645299700197,0.26624719341949865,0.2379721682942296,0.01684927768471718,0.01564913351863225
11,train,2018-08-12 15:05:00,0.0012360920242325706,0.0015479304616175845,0.0016878461095534696,8.790490764779181e-05,0.0002199461556908898,0.0009955175603429524,0.001458860678253892,0.26624706650595514,0.2379319631307398,0.016847760043400363,0.015649115632875424
11,train,2018-08-12 15:10:00,0.0012363878627996907,0.001552244043548205,0.001682269425113919,8.789813673340389e-05,0.00021993191499482452,0.000995484667496952,0.001458857298261382,0.26624702778865805,0.23789256536700218,0.016846241018637034,0.015649099051683255
11,train,2018-08-12 15:15:00,0.0012366525885395337,0.0015561357758866056,0.0016779968220010978,8.789151158176431e-05,0.00021991709258310107,0.0009954493781093902,0.0014588541453601825,0.2662470219059879,0.2378537429898944,0.01684472199112809,0.015649083855910368
11,train,2018-08-12 15:20:00,0.0012368435360730309,0.0015596391083253507,0.001674769385617464,8.788490197301623e-05,0.0002199021024803,0.0009954120688592876,0.0014588510676795154,0.26624702181383414,0.23781534237472957,0.016843203575156045,0.015649069992372474
11,train,2018-08-12 15:25:00,0.0012369602984535547,0.0015628560235904545,0.001672331040599482,8.787822179083143e-05,0.00021988726956482932,0.0009953730548895035,0.0014588479600335083,0.26624701693074365,0.23777725818350418,0.016841686257776853,0.01564905736635444
11,train,2018-08-12 15:30:00,0.001237019134481948,0.001565890986417949,0.001670476899170804,8.787140965547182e-05,0.0002198728257725291,0.0009953325769608318,0.0014588447406291836,0.2662470045778012,0.23773941155158743,0.016840170668678097,0.015649045879013466
11,train,2018-08-12 15:35:00,0.0012370265637485017,0.001568637510694505,0.0016688896209515558,8.786441750915096e-05,0.0002198589365146646,0.0009952908826309284,0.0014588413340233864,0.2662469860047602,0.23770173833490352,0.016838651229850163,0.01564903600128104
11,train,2018-08-12 15:40:00,0.0012369458360000532,0.0015710229078311534,0.0016675186792284807,8.785726957796108e-05,0.0002198456484776464,0.0009952480678255896,0.001458837736226227,0.2662469612405721,0.23766427019470207,0.016837119434951683,0.015649028228536657
11,train,2018-08-12 15:45:00,0.0012367745033529415,0.001573112982397372,0.0016662409535948828,8.78500213347666e-05,0.00021983292316529697,0.000995204073550282,0.0014588339730005697,0.2662469273121841,0.23762708182256176,0.01683556952328258,0.01564902267066765
11,train,2018-08-12 15:50:00,0.001236526049954406,0.0015749400236393742,0.0016650772132389057,8.784270031398427e-05,0.0002198207543625102,0.0009951589724707462,0.0014588300467178975,0.2662468839861041,0.237590182494527,0.016833998746384315,0.015649019144187273
11,train,2018-08-12 15:55:00,0.0012362021422253403,0.001576529143434862,0.0016639925934619467,8.783534246392721e-05,0.0002198091009368396,0.0009951127199053671,0.0014588259621790447,0.2662468278448801,0.23755361956440108,0.016832406841263903,0.015649017248183194
11,train,2018-08-12 16:00:00,0.001235813077441615,0.0015779204857629637,0.001662949231247037,8.782797823942777e-05,0.0002197979135273212,0.0009950652483610095,0.001458821717483052,0.26624675431710215,0.2375174277791467,0.016830795158767217,0.01564901649122982
11,train,2018-08-12 16:05:00,0.0012354730188497572,0.0015789507224502348,0.0016626420231444174,8.782050787164403e-05,0.00021978713196039477,0.000995015803300444,0.001458817231148375,0.2662466311525826,0.23748181275629807,0.016829169994475004,0.015649016364193406
11,train,2018-08-12 16:10:00,0.001235136168685833,0.0015793080432243154,0.0016638022415934066,8.781268425447274e-05,0.00021977715861873172,0.0009949649606248875,0.0014588122041242796,0.2662464762910754,0.23744656604227957,0.01682753621879426,0.015649016335729397
